Día;dia/semana;Línea de servicio;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00
02/04/2019;martes;LINEA 2;81;550;774;911;609;;1607;1074;1042;823;893;1174;1436;1874;1832;1334;991;631;254
03/04/2019;miércoles;LINEA 1;2709;9451;11700;11393;6766;6066;5061;5320;5853;5918;6190;6454;8557;11396;9586;6267;4501;3637;1943
03/04/2019;miércoles;LINEA 2;89;610;732;876;763;771;848;881;983;795;935;1112;1486;1811;1838;1184;926;579;218
04/04/2019;jueves;LINEA 1;2674;9525;11443;11348;6619;6170;5033;5247;5928;5857;6089;6724;8167;11498;9809;6243;4472;3749;1949
04/04/2019;jueves;LINEA 2;92;588;755;857;691;800;780;868;959;856;909;1073;1405;1805;1758;1182;1008;564;225
05/04/2019;viernes;LINEA 1;2570;8812;11813;11741;7151;6186;5086;5708;5922;6312;6569;6953;9061;10637;9083;6401;4337;4073;2300
05/04/2019;viernes;LINEA 2;85;559;801;863;765;830;836;833;957;833;912;1123;1563;1637;1745;1224;800;612;306
06/04/2019;sábado;LINEA 1;2157;5730;7685;8748;5882;5027;4681;5240;7309;7409;7263;6566;7011;4971;5031;4124;3348;2913;1946
06/04/2019;sábado;LINEA 2;62;416;482;625;518;540;616;785;1057;1089;1000;909;1236;908;845;820;488;465;227
07/04/2019;domingo;LINEA 1;520;1984;2606;2675;2556;2882;3231;3145;3310;4026;3926;3583;3520;3489;3509;3326;3101;2280;402
07/04/2019;domingo;LINEA 2;1;122;150;200;171;281;417;314;386;499;427;428;375;380;434;380;476;204;34
08/04/2019;lunes;LINEA 1;2689;9125;11363;10485;6610;5870;5113;5285;5868;5821;1090;11330;7896;11422;9002;6021;4034;3255;1652
08/04/2019;lunes;LINEA 2;70;621;748;779;700;791;810;868;1094;860;126;1887;1392;1661;1616;1139;810;495;173
09/04/2019;martes;LINEA 1;2727;9198;11914;11128;6694;6088;5096;5510;5780;6049;5901;6184;8008;10717;9356;6023;4301;3567;1797
09/04/2019;martes;LINEA 2;95;574;787;797;701;781;825;777;959;804;815;1041;1301;2162;1745;1209;892;497;238
10/04/2019;miércoles;LINEA 1;2764;9330;11422;11019;6520;6003;4844;5624;5952;5637;5783;6052;8190;11243;9674;6181;4320;3559;1867
10/04/2019;miércoles;LINEA 2;91;610;782;796;680;709;783;863;1024;795;890;1047;1397;1642;1837;1168;949;619;200
11/04/2019;jueves;LINEA 1;2649;9086;11737;10756;6619;5987;5006;5467;5662;5947;5956;6474;7974;10569;9330;6351;4354;3593;2025
11/04/2019;jueves;LINEA 2;93;584;784;798;672;714;766;913;898;859;958;1005;1336;1448;1565;1352;940;615;236
